種類,負載,效率
K,0.8,73.58
K,0.9,76.07
K,1,78.18
K,1.1,78.95
K,1.2,80.01
K,1.3,81.58
K,1.4,82.28
K,1.5,82.7
K,1.6,83.3
K,1.7,83.92
K,1.8,84.27
K,1.9,84.81
K,2,85.57
K,2.1,85.69
K,2.2,85.96
K,2.3,86.31
K,2.4,86.49
K,2.5,86.83
K,2.6,86.88
K,2.7,87.26
K,2.8,87.32
K,2.9,87.39
K,3,87.54
